client_id,product_type,transaction_date,amount,transaction_type,revenue
19,card,2025-09-05,260.57,purchase,3.75
19,card,2024-07-17,22.46,purchase,0.43
19,loan,2024-11-15,98.87,fee,1.83
19,loan,2024-07-20,44.91,repayment,0.66
19,loan,2025-03-30,58.67,repayment,0.56
20,account,2025-06-30,74.47,deposit,0.0
20,account,2025-05-25,119.5,transfer_in,0.0
20,account,2025-01-27,37.03,transfer_out,0.22
20,account,2025-03-21,136.03,withdrawal,1.84
20,account,2023-12-20,246.95,deposit,0.0
20,account,2025-05-05,172.29,transfer_out,2.49
22,account,2023-10-01,107.21,transfer_out,1.29
22,account,2023-04-07,148.95,deposit,0.0
22,account,2024-12-01,116.5,withdrawal,2.25
22,card,2024-02-05,188.69,purchase,3.59
22,card,2023-05-27,15.58,purchase,0.28
22,card,2023-11-13,13.52,purchase,0.26
22,card,2022-12-29,0.0,purchase,0.0
22,card,2023-04-15,64.34,purchase,1.23
22,card,2023-12-30,43.67,purchase,0.78
22,card,2024-03-13,94.66,purchase,
22,loan,2024-07-28,7.11,repayment,0.06
22,loan,2024-10-13,99999.0,,
22,loan,2023-05-16,20.57,repayment,0.2
22,loan,2023-06-28,75.81,fee,1.1
22,loan,2024-10-12,66.97,repayment,0.78
22,loan,2023-12-20,23.26,interest,0.28
23,card,2022-07-06,14.83,purchase,0.28
23,loan,2024-01-20,46.46,repayment,0.32
23,loan,2022-12-12,86.0,repayment,1.24
24,card,2023-07-27,183.78,fee,0.0
24,card,2024-12-21,63.67,purchase,1.02
24,card,2023-06-29,17.83,purchase,0.29
24,card,2024-03-09,74.55,purchase,0.81
24,card,2024-03-12,39.2,withdrawal,0.71
24,loan,2024-06-07,59.68,interest,1.05
24,loan,2025-01-08,2.45,repayment,0.01
24,loan,2024-03-15,21.04,repayment,0.28
24,loan,2024-05-21,0.0,interest,0.0
24,loan,2024-04-23,93.91,repayment,1.1
25,account,2023-08-02,-100.0,transfer_out,-1.12
25,account,2023-04-27,82.6,transfer_in,0.0
25,account,2023-06-14,63.84,deposit,0.0
25,account,2023-05-11,52.56,deposit,0.0
25,account,2024-02-09,99999.0,transfer_in,0.0
25,account,2023-06-20,133.02,withdrawal,-999.0
25,account,2023-08-10,94.53,transfer_in,0.0
25,account,2023-03-10,67.05,withdrawal,0.78
25,card,2023-06-13,11.97,purchase,0.13
25,card,2023-08-10,47.17,withdrawal,0.57
25,card,2024-06-01,290.15,purchase,4.79
25,card,2024-06-24,99999.0,fee,1860.07
25,card,2024-03-10,197.44,refund,-2.6
25,card,2023-12-22,0.0,withdrawal,0.0
25,loan,2023-10-07,264.32,fee,3.93
25,loan,2022-09-18,46.37,fee,0.47
25,loan,2024-03-15,125.9,interest,0.0
25,loan,2022-11-04,-100.0,repayment,-1.44
25,loan,2024-02-09,47.37,interest,0.61
26,loan,2024-03-25,56.23,repayment,0.64
26,loan,2023-03-19,99999.0,interest,1575.09
26,loan,2023-07-24,39.39,interest,0.48
28,card,2022-10-26,38.75,purchase,0.41
28,card,2023-12-25,68.12,fee,0.83
28,card,2022-08-09,122.88,purchase,1.68
28,card,2022-08-13,42.11,,
28,card,2022-08-05,22.3,withdrawal,0.31
29,account,2023-06-29,14.47,transfer_in,0.0
29,account,2023-06-13,282.22,deposit,0.0
29,account,2023-12-29,128.37,deposit,0.0
29,account,2023-08-19,32.15,transfer_in,0.0
30,loan,2023-10-24,-100.0,repayment,-0.8
30,loan,2023-07-30,42.0,repayment,0.27
30,loan,2022-11-07,191.72,repayment,1.22
30,loan,2023-06-17,57.27,repayment,0.52
30,loan,2023-11-02,88.7,repayment,0.79
31,card,2023-02-09,36.69,purchase,-999.0
31,card,2022-11-16,247.49,purchase,3.32
31,card,2023-04-14,99999.0,purchase,1683.09
31,card,2022-10-08,115.74,purchase,1.7
31,loan,2024-02-21,5.84,repayment,0.06
31,loan,2023-10-09,28.35,interest,0.47
31,loan,2024-02-18,19.56,interest,0.35
31,loan,2023-08-28,113.21,repayment,1.0
32,card,2024-04-25,99999.0,purchase,1647.76
32,card,2025-03-18,3.4,purchase,0.07
32,card,2023-12-02,13.41,purchase,0.23
32,card,2025-02-27,228.42,purchase,2.69
32,loan,2024-11-13,44.76,repayment,0.31
32,loan,2025-03-29,22.58,repayment,0.25
32,loan,2024-04-30,493.44,repayment,5.41
32,loan,2024-01-03,146.41,repayment,1.92
33,account,2023-12-19,4.57,deposit,0.0
33,account,2023-11-08,66.87,deposit,0.0
33,card,2024-10-22,53.55,purchase,0.93
33,card,2023-09-11,79.63,purchase,0.81
33,card,2024-12-16,61.35,withdrawal,1.04
33,card,2024-01-16,147.58,purchase,
33,card,2024-12-31,44.19,purchase,0.75
33,loan,2024-11-03,160.93,repayment,1.06
33,loan,2024-01-10,42.61,repayment,0.22
33,loan,2024-01-24,34.62,repayment,0.36
33,loan,2024-08-04,50.15,repayment,0.26
33,loan,2023-12-09,89.5,interest,
33,loan,2024-06-16,48.98,repayment,0.38
34,card,2023-09-14,53.38,purchase,0.55
34,card,2023-01-18,0.0,fee,0.0
34,card,2023-05-19,115.15,withdrawal,1.7
34,card,2022-11-05,50.49,purchase,0.9
34,card,2023-09-27,0.04,purchase,0.0
34,loan,2023-05-30,258.98,repayment,3.05
34,loan,2023-01-31,108.78,interest,1.63
34,loan,2023-12-12,47.79,fee,-999.0
34,loan,2023-07-06,173.57,fee,0.0
34,loan,2022-11-23,145.34,interest,1.8
34,loan,2023-04-07,244.11,repayment,3.47
34,loan,2023-08-19,51.54,fee,0.52
34,loan,2023-03-12,54.8,interest,0.83
34,loan,2023-02-25,318.05,repayment,3.58
34,loan,2023-09-08,85.99,repayment,0.54
35,account,2022-09-27,77.7,deposit,0.0
35,account,2023-05-08,41.42,transfer_in,0.0
35,account,2023-09-27,0.0,deposit,0.0
35,account,2023-09-30,113.56,withdrawal,1.22
35,card,2023-09-13,27.99,purchase,0.3
35,card,2023-02-09,47.89,fee,0.82
35,card,2023-03-11,325.58,withdrawal,3.4
35,card,2023-08-18,-100.0,purchase,-1.06
36,loan,2024-04-23,233.22,interest,3.19
36,loan,2022-12-16,136.78,repayment,0.93
36,loan,2023-04-14,44.67,repayment,0.26
36,loan,2024-02-25,8.08,repayment,0.05
36,loan,2023-08-09,144.92,repayment,1.84
37,card,2023-08-10,1.27,purchase,0.02
37,card,2022-09-07,22.24,purchase,0.0
37,card,2022-05-31,219.96,withdrawal,2.63
37,card,2023-02-22,68.02,fee,1.23
37,card,2022-11-30,91.25,withdrawal,1.28
37,loan,2023-04-07,320.91,,
37,loan,2023-12-22,9.56,repayment,0.12
37,loan,2023-02-18,70.09,repayment,0.44
37,loan,2022-08-17,74.97,repayment,1.08
37,loan,2022-09-07,8.91,repayment,0.09
37,loan,2022-04-07,151.96,repayment,2.01
37,loan,2022-10-06,12.04,interest,
37,loan,2023-05-10,73.35,repayment,0.97
37,loan,2023-09-04,69.75,repayment,0.78
38,account,2023-03-02,107.26,transfer_out,1.08
38,account,2023-12-03,53.13,,
38,account,2023-03-16,125.26,deposit,0.0
38,account,2023-12-27,22.05,deposit,0.0
38,account,2023-12-16,111.99,transfer_out,1.29
38,card,2022-11-29,164.78,withdrawal,2.93
38,card,2024-06-29,54.41,withdrawal,0.67
39,account,2024-02-07,99999.0,withdrawal,1962.52
39,account,2023-10-10,108.29,deposit,0.0
39,account,2023-10-21,196.82,withdrawal,2.91
39,card,2023-07-21,57.8,purchase,0.89
39,card,2024-07-26,57.56,purchase,0.66
39,card,2023-09-13,68.67,purchase,1.3
39,card,2023-03-18,266.77,purchase,3.16
39,card,2023-06-04,113.57,purchase,2.01
39,card,2023-02-26,79.85,purchase,
39,card,2024-09-20,39.64,fee,0.7
39,loan,2024-08-06,7.77,interest,0.12
39,loan,2023-05-09,5.61,repayment,0.04
39,loan,2023-01-28,148.4,repayment,1.61
39,loan,2023-02-24,206.83,repayment,2.16
39,loan,2024-08-07,220.14,repayment,1.86
40,account,2024-06-16,99999.0,deposit,0.0
40,account,2023-06-09,127.96,deposit,0.0
40,account,2023-11-19,178.4,transfer_out,2.65
40,account,2024-05-12,262.11,deposit,0.0
40,account,2024-02-18,9.14,transfer_in,0.0
40,account,2023-04-27,123.84,withdrawal,2.03
40,account,2023-10-29,42.75,transfer_in,0.0
40,card,2022-10-15,68.77,withdrawal,0.85
40,card,2024-01-31,3.95,fee,0.05
40,card,2023-09-06,-100.0,fee,-1.66
40,loan,2023-04-22,23.2,repayment,0.23
40,loan,2024-03-29,4.1,repayment,0.06
40,loan,2023-04-01,63.7,interest,1.14
41,account,2024-05-22,408.04,transfer_in,0.0
41,account,2023-11-23,113.26,deposit,0.0
41,account,2024-04-30,144.84,,
41,account,2023-05-30,559.17,withdrawal,8.91
41,account,2023-05-02,-100.0,deposit,0.0
41,account,2022-11-29,99999.0,deposit,0.0
41,account,2022-11-24,-100.0,transfer_out,-1.5
41,account,2023-06-03,115.01,transfer_in,0.0
41,account,2023-09-27,9.52,transfer_out,0.07
42,card,2024-06-07,89.08,purchase,1.69
42,card,2025-10-03,118.9,purchase,1.28
42,card,2025-08-30,30.22,withdrawal,0.5
42,loan,2025-05-05,9.65,interest,0.12
42,loan,2024-02-26,205.93,interest,3.83
43,account,2025-04-10,71.66,withdrawal,1.22
43,account,2023-11-24,2.23,transfer_out,0.03
43,account,2025-05-16,54.34,transfer_in,0.0
43,account,2024-06-12,-100.0,deposit,0.0
43,loan,2025-01-20,16.39,repayment,0.14
43,loan,2025-01-26,29.19,repayment,0.18
43,loan,2025-02-26,9.63,,
43,loan,2024-12-18,99999.0,repayment,1461.32
44,account,2025-06-07,236.52,transfer_in,0.0
44,account,2024-12-19,54.94,withdrawal,0.64
44,account,2024-01-23,0.11,withdrawal,0.0
44,account,2024-06-30,204.17,deposit,0.0
44,account,2024-05-22,24.09,transfer_in,0.0
44,card,2025-07-15,121.19,purchase,2.08
44,card,2025-08-28,28.53,purchase,0.43
44,card,2024-07-09,48.34,purchase,0.68
44,card,2025-01-26,240.14,purchase,3.9
44,card,2025-09-10,86.82,purchase,1.23
45,account,2022-08-29,184.04,deposit,0.0
45,account,2024-02-17,17.03,deposit,0.0
45,account,2022-11-22,46.37,transfer_in,0.0
45,card,2022-05-20,15.7,fee,-999.0
45,card,2023-05-17,99999.0,purchase,1759.34
45,card,2022-08-17,99999.0,purchase,1890.11
45,card,2022-05-25,95.66,purchase,1.44
45,card,2023-07-10,47.17,fee,0.54
45,card,2023-03-17,93.55,fee,1.27
45,card,2023-04-27,23.51,,
45,loan,2023-05-03,0.0,repayment,0.0
45,loan,2023-01-05,493.23,repayment,3.85
45,loan,2024-02-24,99999.0,repayment,1479.03
45,loan,2023-03-12,77.25,repayment,0.9
45,loan,2023-08-11,99999.0,repayment,1288.7
46,account,2025-04-29,15.81,transfer_out,0.21
46,account,2024-09-20,85.19,withdrawal,1.3
46,account,2025-01-04,58.87,transfer_out,0.61
46,account,2024-06-04,-100.0,transfer_in,0.0
46,account,2025-03-14,67.94,transfer_out,0.83
46,account,2025-05-14,229.75,transfer_out,1.23
46,account,2025-06-29,6.21,withdrawal,0.08
46,account,2025-04-01,403.35,withdrawal,7.88
46,card,2024-07-09,152.22,purchase,2.86
46,loan,2025-06-29,279.61,repayment,2.31
46,loan,2024-12-22,99999.0,interest,1192.5
46,loan,2024-12-25,90.8,fee,1.62
46,loan,2024-07-09,4.76,repayment,0.03
47,account,2023-09-09,53.36,withdrawal,1.04
47,account,2023-03-17,12.79,withdrawal,0.24
47,account,2023-09-10,0.73,deposit,0.0
47,account,2023-09-08,-100.0,withdrawal,-1.97
47,account,2022-09-29,42.96,deposit,0.0
47,account,2023-02-27,37.19,deposit,0.0
47,account,2023-08-30,218.04,transfer_in,0.0
47,card,2023-02-04,100.34,fee,1.18
47,card,2022-10-26,40.08,withdrawal,0.66
47,card,2024-01-30,89.12,purchase,1.01
47,card,2023-10-26,99999.0,fee,1304.12
47,card,2023-11-14,153.41,fee,2.56
47,card,2023-06-30,1.75,withdrawal,
47,loan,2022-12-10,90.06,repayment,0.88
47,loan,2023-06-21,16.35,repayment,0.2
47,loan,2022-06-28,147.91,repayment,1.06
47,loan,2023-07-31,16.77,repayment,0.16
47,loan,2023-03-30,59.47,,
47,loan,2023-06-14,90.9,repayment,0.58
48,account,2023-03-07,-100.0,withdrawal,-1.61
48,card,2023-12-29,56.29,,
48,card,2023-12-08,136.53,fee,2.39
48,card,2024-10-15,31.57,purchase,0.46
48,card,2023-11-01,157.93,fee,1.75
48,loan,2023-10-22,141.22,repayment,1.83
48,loan,2023-12-20,68.87,repayment,0.69
48,loan,2023-03-19,7.31,repayment,0.06
48,loan,2023-01-17,14.38,repayment,0.18
48,loan,2024-02-08,17.02,repayment,0.25
48,loan,2024-02-08,6.16,interest,0.06
48,loan,2024-07-11,387.58,repayment,5.81
48,loan,2024-01-03,55.88,repayment,0.57
48,loan,2023-05-31,154.62,repayment,1.44
49,account,2025-04-27,19.74,withdrawal,0.21
49,account,2023-10-29,370.61,deposit,0.0
49,account,2024-09-27,57.59,withdrawal,1.12
49,account,2024-05-24,17.34,deposit,0.0
49,account,2024-03-12,231.54,,
49,card,2024-09-19,0.84,purchase,0.01
49,card,2024-10-14,75.05,,
49,card,2024-07-01,29.35,purchase,0.32
49,card,2025-04-30,53.78,purchase,0.85
49,card,2023-10-24,30.95,refund,-0.36
49,card,2025-02-07,99999.0,withdrawal,1688.5
49,card,2024-12-05,591.55,fee,8.1
49,card,2024-10-07,36.26,,
49,card,2025-06-07,156.76,purchase,1.95
49,loan,2025-05-13,0.0,repayment,0.0
49,loan,2025-02-16,2.72,interest,0.05
49,loan,2024-05-01,3.44,repayment,0.04
49,loan,2024-01-16,51.63,repayment,0.34
49,loan,2024-07-22,197.79,repayment,1.57
50,account,2024-04-15,160.59,transfer_out,1.81
50,account,2023-12-24,209.63,deposit,0.0
50,account,2024-09-21,124.79,deposit,0.0
50,card,2023-11-18,255.94,purchase,4.73
50,card,2024-11-25,96.8,withdrawal,1.42
50,card,2024-02-23,409.67,purchase,6.16
50,card,2025-01-31,74.42,purchase,1.17
50,card,2024-10-18,100.16,fee,1.37
51,account,2024-08-07,49.27,withdrawal,0.54
51,account,2024-07-25,24.93,transfer_out,0.35
51,account,2023-08-11,8.1,transfer_out,0.05
51,account,2023-12-11,124.47,deposit,0.0
51,account,2024-02-24,68.81,transfer_out,0.93
51,account,2024-09-13,55.91,transfer_out,0.29
51,account,2024-09-06,71.85,deposit,0.0
51,account,2023-10-22,190.32,deposit,0.0
51,card,2024-06-02,88.58,purchase,1.63
51,card,2023-06-29,83.2,withdrawal,1.62
51,card,2023-11-20,113.19,purchase,0.0
52,account,2024-10-01,431.83,deposit,0.0
52,card,2024-05-10,81.37,purchase,1.15
52,loan,2023-07-05,43.43,fee,0.73
52,loan,2023-08-11,71.86,repayment,1.03
52,loan,2024-03-07,183.91,repayment,2.23
52,loan,2024-02-21,99999.0,fee,1135.76
52,loan,2024-08-28,96.39,repayment,0.57
52,loan,2023-08-11,99999.0,repayment,1077.59
53,account,2023-01-13,53.55,withdrawal,0.8
53,account,2023-07-01,99999.0,deposit,0.0
53,account,2024-09-22,112.99,transfer_in,0.0
53,account,2023-04-16,99999.0,deposit,0.0
53,account,2024-02-17,63.35,withdrawal,0.99
53,account,2023-11-04,5.86,withdrawal,0.09
53,account,2024-02-11,35.52,transfer_out,0.21
53,card,2023-02-01,76.94,purchase,0.91
53,card,2023-08-01,70.83,,
53,card,2023-05-25,-100.0,refund,1.95
53,card,2023-09-04,34.05,purchase,0.37
53,loan,2023-02-04,7.04,fee,0.11
53,loan,2024-02-17,21.64,repayment,0.13
53,loan,2023-03-30,98.99,repayment,0.68
53,loan,2023-03-16,93.19,interest,0.94
53,loan,2022-12-28,153.54,repayment,1.3
54,account,2022-10-18,96.47,withdrawal,1.14
54,account,2023-02-17,46.85,deposit,0.0
54,account,2022-08-26,22.08,transfer_in,0.0
55,account,2023-04-28,33.19,transfer_in,0.0
55,account,2023-11-25,60.47,transfer_in,0.0
55,account,2024-06-07,36.79,deposit,0.0
55,account,2023-06-23,24.74,deposit,0.0
55,account,2024-08-30,0.0,deposit,0.0
55,loan,2023-05-12,56.52,interest,1.12
55,loan,2024-02-24,411.58,,
55,loan,2024-03-29,24.3,repayment,0.35
55,loan,2024-08-02,30.86,repayment,0.32
55,loan,2023-07-02,50.67,repayment,0.5
55,loan,2024-04-16,114.12,interest,1.4
55,loan,2023-05-21,165.09,repayment,1.04
55,loan,2024-12-02,65.88,repayment,0.37
55,loan,2023-05-28,124.87,fee,1.8
56,card,2023-08-21,67.12,,
56,card,2022-06-21,4.21,withdrawal,0.06
56,card,2023-12-04,99999.0,purchase,1080.22
56,card,2023-05-17,121.49,refund,-2.19
56,card,2023-02-13,0.0,fee,0.0
56,card,2023-06-22,50.21,purchase,0.87
56,loan,2024-02-22,37.31,interest,0.59
56,loan,2023-03-30,105.82,repayment,1.12
56,loan,2023-10-17,495.94,,
56,loan,2023-02-09,141.09,fee,2.32
56,loan,2024-03-09,59.97,repayment,0.48
56,loan,2024-01-27,23.39,repayment,0.31
56,loan,2023-12-21,63.25,repayment,0.75
56,loan,2024-02-24,129.98,fee,1.94
57,account,2024-01-05,38.4,transfer_out,0.39
57,account,2022-12-07,172.52,withdrawal,-999.0
57,account,2023-01-17,17.53,transfer_out,0.11
57,loan,2023-09-24,0.0,,
57,loan,2023-11-08,11.7,repayment,0.14
57,loan,2022-10-26,134.12,repayment,1.74
57,loan,2022-07-04,86.91,repayment,1.2
57,loan,2023-04-01,37.78,repayment,0.24
57,loan,2023-12-19,205.87,repayment,2.68
57,loan,2022-04-13,370.91,repayment,4.67
58,card,2022-12-29,361.01,,
58,card,2022-11-09,0.0,purchase,0.0
58,card,2022-10-26,0.0,purchase,0.0
58,card,2022-06-18,39.19,withdrawal,0.49
58,loan,2023-11-22,176.63,interest,1.77
58,loan,2022-08-27,169.77,interest,
58,loan,2023-04-13,30.81,repayment,0.23
58,loan,2022-05-10,8.57,repayment,0.08
59,account,2023-07-19,0.17,transfer_in,0.0
59,account,2023-06-28,97.67,deposit,0.0
59,account,2023-08-07,240.87,deposit,0.0
